지역,건물용도,건물용도구분,연면적,창면적비,난방방식,냉방방식,태양광용량,태양광_후면,태양광_밀착,지열여부,열병합여부,태양광비율,에너지자립률,1차에너지소요량,최종등급,비율구간,보간_자립률,보간_1차에너지,잔차_자립률,잔차_1차에너지
6,29,1,5894.5948,33.6,0,0,40.32,178.742,191.50928571428568,0,0,0.030323034248257403,13.13,120.4,5,2~5%,10.483988904546925,129.02921369930297,2.6460110954530762,-8.629213699302966
7,0,0,27903.3802,19.84,2,2,281.56,3052.159026785714,3270.1703858418364,0,0,0.10938312867147594,13.49,86.8,5,10~15%,28.495261932894525,107.06038654541625,-15.005261932894525,-20.260386545416253
16,6,1,4014.71,34.58,0,0,67.5,298.6274666666667,319.95799999999997,0,0,0.07438332200001163,14.24,118.0,5,5~10%,21.939663720003026,116.22971255499567,-7.699663720003025,1.7702874450043282
12,3,1,999.89,30.88,2,0,7.3,65.05714285714286,69.70408163265307,0,0,0.06506429993013518,14.3,75.4,4,5~10%,19.51671798183515,119.70104827602465,-5.216717981835149,-44.301048276024645
8,16,1,26715.0297,26.43,0,0,267.68,2802.6676160714287,3002.858160076531,1,0,0.10490976980165696,14.47,86.9,4,10~15%,27.663217183108195,108.22345985156919,-13.193217183108194,-21.323459851569183
0,6,1,3826.73,21.96,0,0,52.8,247.992,265.7057142857143,0,0,0.06480519921708612,14.5,114.0,5,5~10%,19.449351796442393,119.79756329163541,-4.949351796442393,-5.797563291635413
1,17,1,3387.22,21.71,2,0,33.62,155.89280000000002,167.02800000000002,0,0,0.04602381894296799,14.55,88.3,4,2~5%,14.566192925171677,126.79362744374443,-0.016192925171676364,-38.49362744374443
1,17,1,8519.196,20.22,0,0,52.8,245.987,263.5575,0,0,0.028874438385969755,15.35,103.4,5,2~5%,10.107353980352137,128.4497753543879,5.242646019647863,-25.04977535438789
0,3,1,2849.69,25.21,0,0,17.631,157.68330357142855,168.94639668367344,0,0,0.05533349366823358,15.38,125.8,5,5~10%,16.98670835374073,123.32577360858299,-1.6067083537407303,2.4742263914170053
3,18,1,994.56,14.91,0,0,16.2,144.70651785714284,155.0426977040816,0,0,0.14549802712470122,15.84,124.8,5,10~15%,35.29462515369323,99.18736695480557,-19.454625153693232,25.61263304519443
3,7,1,7031.38,23.52,0,0,87.23,386.27,413.86071428571427,1,0,0.05493516208766984,16.08,102.6,5,5~10%,16.88314214279416,123.47415212234299,-0.8031421427941616,-20.87415212234299
1,24,0,15266.66,20.43,1,0,159.39,707.215,757.7303571428572,0,0,0.04632414686643968,16.28,79.2,5,2~5%,14.644278185274317,126.68175529225122,1.6357218147256845,-47.48175529225122
8,17,1,9236.92,24.28,0,0,84.2,400.0910666666667,428.669,0,0,0.04331433710226641,16.87,97.5,5,2~5%,13.861727646589266,127.80290942940577,3.008272353410735,-30.302909429405773
13,24,0,55505.2556,20.44,2,0,464.82,3870.665908333334,4147.142044642857,0,0,0.0697351244759124,17.04,85.9,5,5~10%,20.731132363737228,117.96116613272262,-3.6911323637372284,-32.06116613272262
3,0,0,24232.39,18.91,2,0,158.76,1320.7837500000003,1415.1254464285716,0,0,0.05450488994275844,17.14,81.1,5,5~10%,16.771271385117196,123.63442849632249,0.36872861488280506,-42.53442849632249
8,30,1,8846.59,21.53,0,0,43.0,358.3922916666666,383.9917410714285,0,0,0.04051191381839405,17.17,118.5,5,2~5%,13.133097592782452,128.84681210264822,4.03690240721755,-10.346812102648215
10,0,0,18244.7623,19.09,2,0,220.5,1834.423125,1965.4533482142856,0,0,0.10054519181102185,17.65,84.6,5,10~15%,26.851405676850064,109.35825012913432,-9.201405676850065,-24.758250129134325
1,7,1,2941.26,41.34,0,0,50.4,449.97964285714284,482.1210459183673,0,0,0.1529887336913917,17.7,124.1,5,15~20%,36.71785940136442,97.79409553340115,-19.017859401364422,26.305904466598847
1,0,0,35506.07,20.02,2,0,362.25,3013.6931250000002,3228.9569196428574,0,0,0.08487825109903743,17.97,87.8,5,5~10%,23.937354704420965,113.43165471425027,-5.967354704420966,-25.631654714250274
8,3,1,38862.01,27.67,0,0,63.9,532.5789583333334,570.6203125000001,0,0,0.01370435956177597,18.24,112.8,5,0~2%,6.163133486061752,122.3817438247104,12.076866513938246,-9.5817438247104
1,0,0,62781.7,17.89,1,0,365.4,1621.28,1737.0857142857142,0,0,0.025824085681018513,18.38,84.8,5,2~5%,9.314262277064813,127.22963427240741,9.065737722935186,-42.42963427240741
11,0,0,25713.36,19.92,1,0,167.04,1393.9812666666667,1493.5513571428571,0,0,0.05421233423662511,18.53,77.8,5,5~10%,16.69520690152253,123.74340549685715,1.8347930984774727,-45.94340549685715
11,0,0,45737.1328,16.32,1,0,628.74,2900.346,3107.513571428571,0,0,0.06341337601293626,18.56,82.5,5,5~10%,19.087477763363427,120.31601743518124,-0.5274777633634287,-37.81601743518124
8,17,1,5446.22,48.79,0,0,50.42,453.55167500000005,485.94822321428575,0,0,0.08327825078678423,18.65,125.7,5,5~10%,23.63975464634187,113.8476547954361,-4.989754646341872,11.852345204563903
0,6,1,5359.65,10.68,0,0,28.6,134.329,143.92392857142858,0,0,0.025063017174628943,19.07,110.5,5,2~5%,9.116384465403524,126.92520686985158,9.953615534596477,-16.42520686985158
7,0,0,14516.39,26.59,2,0,153.6,1371.6977321428574,1469.6761415816327,0,0,0.09449303388396546,19.11,81.3,5,5~10%,25.725704302417576,110.93181119016899,-6.615704302417576,-29.63181119016899
13,28,1,2453.3,24.23,0,0,19.2,159.82482500000003,171.24088392857144,0,0,0.06514687359882608,19.16,117.3,5,5~10%,19.538187135694784,119.67028958443728,-0.3781871356947839,-2.3702895844372875
1,0,0,23029.04,19.56,2,0,256.085,2130.4743750000002,2282.651116071429,0,0,0.09251251354811144,19.4,86.8,5,5~10%,25.35732751994873,111.44674647749103,-5.9573275199487306,-24.646746477491035
1,6,1,3415.04,30.73,2,0,57.15,234.80613333333338,251.57800000000003,0,0,0.06875648113443279,19.4,73.0,4,5~10%,20.47668509495253,118.32571077742378,-1.0766850949525306,-45.32571077742378
1,24,0,153422.81,18.62,1,0,602.91,5033.684816666667,5393.233732142858,0,0,0.03280923362482194,19.43,84.2,5,2~5%,11.130400742453702,130.02369344992877,8.299599257546298,-45.82369344992877
1,17,1,8319.988,20.45,0,0,41.58,347.15106666666674,371.94757142857145,0,0,0.04172494800072629,19.79,102.4,5,2~5%,13.448486480188835,128.39495686972947,6.341513519811164,-25.994956869729464
1,0,0,29414.4115,19.54,2,0,340.2,292727.746,313636.8707142857,0,0,9.951847787265777,20.03,84.3,5,,150.0,-50.0,-129.97,134.3
8,17,1,233411.16,33.61,0,0,1284.057,11355.215566666668,12166.302392857144,0,0,0.048648983050624775,20.31,145.9,5,2~5%,15.248735593162442,125.81575381364227,5.061264406837557,20.08424618635773
11,3,1,842.7,25.84,0,0,51.2,223.625,239.59821428571425,0,0,0.26536727186424586,20.33,197.5,5,25~30%,53.866108935564256,78.56597840275306,-33.53610893556426,118.93402159724694
8,17,1,3074.23,33.03,0,0,34.65,288.872375,309.50611607142855,0,0,0.09396576541117613,20.36,126.5,5,5~10%,25.62763236647876,111.0689009930942,-5.267632366478761,15.431099006905797
15,28,1,812.88,20.15,0,0,8.19,68.35558333333334,73.23812500000001,0,0,0.08409062018174066,20.4,121.4,5,5~10%,23.790855353803764,113.63643875274742,-3.390855353803765,7.763561247252582
11,6,1,1325.97,13.87,0,0,34.56,150.814,161.58642857142854,0,0,0.1137386215374405,20.43,117.5,5,10~15%,29.305383605963932,105.92795840026547,-8.875383605963933,11.572041599734533
11,6,1,1597.21,16.5,0,0,32.76,145.228,155.60142857142856,0,0,0.09092605230370458,20.43,99.1,5,5~10%,25.062245728489053,111.8592264010368,-4.632245728489053,-12.759226401036813
10,7,1,575.37,8.37,0,0,10.08,83.85937500000001,89.84933035714286,0,0,0.14574860524532043,20.47,163.0,5,10~15%,35.342234996610884,99.1407594243704,-14.872234996610885,63.8592405756296
12,0,0,4482.3271,18.64,2,0,52.92,441.8281166666667,473.38726785714283,0,0,0.09857114548080764,20.49,93.6,5,5~10%,26.484233059430224,109.87150217499001,-5.9942330594302256,-16.27150217499002
1,1,1,201103.66,40.94,1,3,1472.76,14141.428316666668,15151.530339285715,0,0,0.07031909969548375,20.49,85.5,4,5~10%,20.882965920825775,117.7436353634323,-0.39296592082577675,-32.243635363432304
5,29,1,5338.36,34.1,0,0,45.36,37736.62500000001,40432.09821428572,0,0,7.068954697697422,20.55,128.7,5,,150.0,-50.0,-129.45,178.7
11,6,1,1287.06,15.73,0,0,34.56,150.814,161.58642857142854,0,0,0.11717713237922087,20.58,127.7,5,10~15%,29.94494662253508,105.03394558140258,-9.364946622535083,22.666054418597426
1,6,1,3443.57,22.25,2,0,61.44,268.35,287.5178571428571,0,0,0.07792784813434894,20.58,62.2,4,5~10%,22.644579752988903,115.23875948506928,-2.064579752988905,-53.03875948506928
1,24,0,5044.06,15.6,2,0,90.72,81124.71785714285,86919.34056122448,0,0,16.083218252190267,20.62,99.3,5,,150.0,-50.0,-129.38,149.3
2,7,1,1405.64,25.24,0,0,33.0,294.92985714285714,315.9962755102041,0,0,0.2098189131945997,20.65,147.8,5,20~25%,44.86935610418436,90.35738433331844,-24.219356104184364,57.442615666681576
14,0,0,3729.7054,21.64,2,0,39.0,325.0542916666667,348.27245535714286,0,0,0.08715280613494747,20.72,84.8,5,5~10%,24.36042194110023,112.84027040491365,-3.6404219411002323,-28.040270404913656
8,0,0,3551.628,24.16,2,0,57.37,569.5572142857143,610.2398724489796,0,0,0.16036510982730012,20.73,95.4,5,15~20%,38.11937086718702,96.42208957212218,-17.389370867187022,-1.0220895721221694
8,0,0,1780.85,17.25,2,0,35.936,328.64346666666665,352.118,0,0,0.18454303656493623,20.77,120.3,5,15~20%,41.98790616840273,92.78386848976612,-21.21790616840273,27.516131510233876
2,25,1,592.46,25.41,0,0,9.6,80.01641666666667,85.731875,0,0,0.13505792233512248,20.91,113.4,5,10~15%,33.31100524367327,101.12922644566721,-12.401005243673271,12.270773554332791
15,6,1,793.2,19.15,0,0,30.24,252.47401666666664,270.50787499999996,0,0,0.3182980542948394,20.92,286.5,5,30~40%,58.832921387348016,73.79077043760856,-37.912921387348014,212.70922956239144
1,6,1,2252.31,1.29,0,0,60.48,268.004,287.14714285714285,0,0,0.11899072507780901,21.02,186.4,5,10~15%,30.282274864472477,104.56241147976965,-9.262274864472477,81.83758852023036
5,28,1,992.72,23.8,0,0,0.0,114.65440000000001,122.844,0,0,0.1154952050930776,21.09,135.3,5,10~15%,29.632108147312433,105.47124667579982,-8.542108147312433,29.828753324200193
