태양광비율,에너지자립률,최종등급
0.00491322258399278,1.87,5
0.01322192082560013,3.13,5
0.009790010506827805,3.18,5
0.013765492433569334,7.24,5
0.017750419928766876,7.7,4
0.013940441104234208,8.25,5
0.015915954454850778,5.17,5
0.016255340121650377,5.09,5
0.006552456974332132,7.48,5
0.006585707550541373,1.671507434264941,5
0.006250957337398522,1.6717325227963529,5
0.005968748249974004,1.6725798276735933,인증불가
0.0069513417733324005,1.674843512096092,인증불가
0.01034097171105292,1.683673469387755,인증불가
0.008788997565196318,1.684876952925559,인증불가
0.007163093367643602,1.6851063829787234,인증불가
0.006372327847899025,1.6884113584036842,5
0.005861639541375017,1.6885553470919326,5
0.012950054431151718,1.6910935738444193,인증불가
0.008202509878958077,1.6966580976863752,인증불가
0.0063766208633897845,1.7016887972154182,인증불가
0.009048445840057576,1.74025600460233,인증불가
0.006681433356840621,1.7403613956199513,5
0.011439710992869681,1.7432646592709984,인증불가
0.01140042654967548,1.7458687330781437,인증불가
0.007845834186883616,1.7501988862370728,5
0.005005169630665006,1.754527650467403,인증불가
0.009051652123197019,1.7575895914174844,5
0.0069867553017559595,1.7581246670218436,5
0.0070854176462462086,1.7646200962520053,5
0.005341453734275085,1.7647784771072446,인증불가
0.006641932332767383,1.7656500802568222,5
0.007864553485186753,1.7808958445763627,인증불가
0.011811599793918609,1.7828200972447326,인증불가
0.013959306106283398,1.794453507340946,인증불가
0.007823162189555775,1.8011134155659863,인증불가
0.007066383108005469,1.8079361352430146,인증불가
0.0076850951738844115,1.8095412173277279,5
0.006122402597402597,1.8177812052440234,인증불가
0.009637936770615713,1.8315018315018317,인증불가
0.006890756078688333,1.835032437442076,5
0.010431885424595614,1.8397015309404348,인증불가
0.00485844900299474,1.8537243006403776,인증불가
0.005842205230967867,1.8566990386261897,인증불가
0.006873782946161652,1.858456917589638,5
0.007480606393313593,1.8686919156590387,인증불가
0.015706010039234986,1.875901875901876,인증불가
0.007070999304135124,1.879627871653693,5
0.014290308234408676,1.8842069201781435,인증불가
0.017876112926882893,1.8922137577739553,인증불가
0.004911852093059355,1.8927862342819326,인증불가
0.008004610380332485,1.8963796388712457,인증불가
0.01065992036729612,1.905654482974071,인증불가
0.005316408866644727,1.9056785370548606,인증불가
0.01027420305090779,1.9110434635548794,인증불가
0.005081697601845019,1.912835561352027,인증불가
0.008867514974131881,1.9157088122605364,인증불가
0.010611698965640232,1.9171470706529026,인증불가
0.00999500443780525,1.9218025182239897,5
0.004867930917710803,1.9237495627841903,인증불가
0.0058656768588704255,1.927795303189625,인증불가
0.010634609394431511,1.947991425109516,인증불가
0.004988745874324484,1.9516855466084349,인증불가
0.009897675741053985,1.96078431372549,인증불가
0.007562332216237082,1.9625334522747548,5
0.007928826112904954,1.966392563460851,5
0.008186917664955313,1.966392563460851,인증불가
0.010603432352775837,1.9677996422182467,인증불가
0.00582831280977457,1.9677996422182473,인증불가
0.00535893795404848,1.9695613249776187,5
0.005073720191492671,1.9736842105263153,인증불가
0.007039936444281686,1.9867549668874174,인증불가
0.00947268490549754,1.9899497487437185,5
0.005648197069890484,1.9913274112743653,인증불가
0.0102719982686515,1.9929660023446656,인증불가
0.007571011166216778,1.9931548218240387,5
0.00640162462483473,1.9932694796790058,인증불가
0.01840019497791002,1.9975396871887998,인증불가
0.011216469785986487,1.9978205593897564,인증불가
0.008413317453274484,1.9986023759608667,인증불가
0.0065543955019400565,1.9990087559887662,인증불가
0.007058911641489987,2.000330633162507,5
0.006420734055225078,2.0036429872495445,인증불가
0.012327562468354992,2.004686279614684,인증불가
0.007992354466628757,2.0078021545399234,5
0.005534924098775576,2.009394572025052,인증불가
0.008851936474005517,2.015623493104446,인증불가
0.010040175643910096,2.0446096654275094,인증불가
0.005020549676894652,2.059496567505721,인증불가
0.011938656507541596,2.071563088512241,인증불가
0.006772616827097415,2.0735155513666355,인증불가
0.004889595647052275,2.0746887966804977,5
0.006407443753824861,2.082544490723211,5
0.004969301086905873,2.0858472677124635,인증불가
0.004834677184646134,2.0869292327004554,인증불가
0.0065601287895503185,2.090686939994569,인증불가
0.00784025953621178,2.091254752851711,인증불가
0.005297114207612021,2.0958522643998245,인증불가
0.005189497377179478,2.095963970206132,인증불가
0.005844889460446607,2.09637898175878,인증불가
0.010373605196904235,2.0983125458547325,인증불가
0.00541279109290468,2.098332410313212,인증불가
0.0050595322302431495,2.0983542953215424,인증불가
0.01765973753558814,2.0993218824867017,인증불가
0.012012632918295008,2.100238663484487,인증불가
0.01264309088751109,2.1078565562551326,인증불가
